"name","category_name","price_non_tax","price_in_tax","position"
"CURIOUS(キュリオス)","シティサイクル","26980","29678","1"
"Celesteno(セレスティーノ)","シティサイクル","28980","31878","2"
"Arvita","シティサイクル","34980","38478","3"
"SIGNE(シグネ)","シティサイクル","23980","26378","4"
"ComO'rade(コモラード)","シティサイクル","24980","27478","5"
"Dia Resto","シティサイクル","26980","29678","6"
"グランディーノ","シティサイクル","28980","31878","7"
"Mixte City","シティサイクル","28980","31878","8"
"CURIOUS mini","シティサイクル","29980","32978","9"
"CONFITURE(コンフィチュール)","シティサイクル","309803400034000","340783740037400","10"
"ヴォラーレ","シティサイクル","30980","34078","11"
"Punk Rock","シティサイクル","30980","34078","12"
"mimosa(ミモザ)","シティサイクル","31980","35178","13"
"limini+","シティサイクル","36980","40678","14"
"CORTEZ(コルテス)","シティサイクル","41980","46178","15"
"イーストボーイ  デラックス","シティサイクル","43980","48378","16"
"ベガス","シティサイクル","46938","51632","17"
"UNIFY","シティサイクル","469806300063000","516786930069300","18"
"CHACLE プレステッツァ","シティサイクル","47800","52580","19"
"EXクロス/EXクロスDisc","シティサイクル","49800","54780","20"
"MARKROSA M7","シティサイクル","51983","57182","21"
"アシスタU STD","電動自転車","98020","107822","22"
"PAS With DX","電動自転車","110838","121922","23"
"20インチ","電動自転車","159000178000178000","174900195800195800","24"
"SUISUI Fleur","電動自転車","60980","67078","25"
"TRANS MOBILLY E-Basic","電動自転車","64980","71478","26"
"SUISUI Breeze","電動自転車","67980","74778","27"
"TDN-206","電動自転車","73980","81378","28"
"TDN-208L","電動自転車","73980","81378","29"
"THE NEO","電動自転車","74980","82478","30"
"TDF-14Z","電動自転車","75980","83578","31"
"24/26インチ","電動自転車","76980","84678","32"
"TDN-212L","電動自転車","79980","87978","33"
"TDA-704L","電動自転車","81980","90178","34"
"TDN-207L","電動自転車","81980","90178","35"
"ビビ・SX","電動自転車","82092","90302","36"
"TDA-712L","電動自転車","85980","94578","37"
"PAS Cheer","電動自転車","90747","99822","38"
"benelli mini Loop 20","電動自転車","90900","99990","39"
"ベロスター","電動自転車","91398","100538","40"
"ベロスター・ミニ","電動自転車","91398","100538","41"
"ヘッドレスト付チャイルドシート搭載TDN-207L","電動自転車","93480","102828","42"
"PAS kiss mini un SP","子供乗せ自転車","137520","151272","43"
"アシスタC STD","子供乗せ自転車","133738","147112","44"
"PAS Babby un SP","子供乗せ自転車","133020","146322","45"
"ヘッドレスト付きチャイルドシート搭載Dia Resto","子供乗せ自転車","38480","42328","46"
"ヘッドレスト付チャイルドシート搭載グランディーノ","子供乗せ自転車","40480","44528","47"
"チャイルドシート搭載limini+","子供乗せ自転車","43980","48378","48"
"ヘッドレスト付きチャイルドシート搭載CONFITURE(コンフィチュール)","子供乗せ自転車","45500","50050","49"
"ヘッドレスト付チャイルドシート搭載limini+","子供乗せ自転車","48480","53328","50"
"ママフレロック206D","子供乗せ自転車","52900","58190","51"
"ヘッドレスト付きチャイルドシート搭載ママフレロック206D","子供乗せ自転車","64400","70840","52"
"ヘッドレスト付チャイルドシート搭載TDN-207L","子供乗せ自転車","93480","102828","53"
"ヘッドレスト付チャイルドシート搭載TDH-408L","子供乗せ自転車","97980","107778","54"
"ヘッドレスト付チャイルドシート搭載アシスタU STD","子供乗せ自転車","109520","120472","55"
"ふらっか～ずココッティアシスト","子供乗せ自転車","110000","121000","56"
"ヘッドレスト付きチャイルドシート搭載ビビ・DX","子供乗せ自転車","121480","133628","57"
"ギュット・アニーズ・DX","子供乗せ自転車","135929","149522","58"
