"name","url","position"
"きたゆざわ　森のソラニワ","https://travel.rakuten.co.jp/HOTEL/18832/18832.html?l-id=hotelList_ad_L000002704_1_18832","1"
"札幌エクセルホテル東急","https://travel.rakuten.co.jp/HOTEL/502/502.html?l-id=hotelList_ad_L000002704_2_502","2"
"センチュリーマリーナ函館","https://travel.rakuten.co.jp/HOTEL/168681/168681.html?l-id=hotelList_3_168681","3"
"センチュリーロイヤルホテル","https://travel.rakuten.co.jp/HOTEL/559/559.html?l-id=hotelList_4_559","4"
"ニューオータニイン札幌","https://travel.rakuten.co.jp/HOTEL/163/163.html?l-id=hotelList_5_163","5"
"ホテルグレイスリー札幌","https://travel.rakuten.co.jp/HOTEL/635/635.html?l-id=hotelList_6_635","6"
"函館国際ホテル","https://travel.rakuten.co.jp/HOTEL/1341/1341.html?l-id=hotelList_7_1341","7"
"京王プレリアホテル札幌","https://travel.rakuten.co.jp/HOTEL/172272/172272.html?l-id=hotelList_8_172272","8"
"天然温泉ホテルパコ釧路","https://travel.rakuten.co.jp/HOTEL/50771/50771.html?l-id=hotelList_9_50771","9"
"ホテルマイステイズ札幌アスペン","https://travel.rakuten.co.jp/HOTEL/625/625.html?l-id=hotelList_10_625","10"
"ホテルエミシア札幌","https://travel.rakuten.co.jp/HOTEL/901/901.html?l-id=hotelList_11_901","11"
"天然温泉　ホテルパコ函館","https://travel.rakuten.co.jp/HOTEL/50746/50746.html?l-id=hotelList_12_50746","12"
"ラ・ジェント・ステイ札幌大通","https://travel.rakuten.co.jp/HOTEL/153293/153293.html?l-id=hotelList_13_153293","13"
"ソラリア西鉄ホテル札幌","https://travel.rakuten.co.jp/HOTEL/180441/180441.html?l-id=hotelList_14_180441","14"
"メルキュール札幌","https://travel.rakuten.co.jp/HOTEL/79255/79255.html?l-id=hotelList_15_79255","15"
"ダイワロイネットホテル札幌すすきの","https://travel.rakuten.co.jp/HOTEL/137031/137031.html?l-id=hotelList_16_137031","16"
"札幌プリンスホテル","https://travel.rakuten.co.jp/HOTEL/9515/9515.html?l-id=hotelList_17_9515","17"
"東急ステイ札幌","https://travel.rakuten.co.jp/HOTEL/165829/165829.html?l-id=hotelList_18_165829","18"
"ワイズホテル　旭川駅前","https://travel.rakuten.co.jp/HOTEL/166948/166948.html?l-id=hotelList_19_166948","19"
"ラビスタ函館ベイ（共立リゾート）","https://travel.rakuten.co.jp/HOTEL/69295/69295.html?l-id=hotelList_20_69295","20"
"ホテルソニア小樽","https://travel.rakuten.co.jp/HOTEL/5170/5170.html?l-id=hotelList_21_5170","21"
"イビススタイルズ札幌","https://travel.rakuten.co.jp/HOTEL/109107/109107.html?l-id=hotelList_22_109107","22"
"京王プラザホテル札幌","https://travel.rakuten.co.jp/HOTEL/724/724.html?l-id=hotelList_23_724","23"
"札幌ビューホテル大通公園","https://travel.rakuten.co.jp/HOTEL/1430/1430.html?l-id=hotelList_24_1430","24"
"ホテルリソルトリニティ札幌","https://travel.rakuten.co.jp/HOTEL/70234/70234.html?l-id=hotelList_25_70234","25"
"ホテルウィングインターナショナル旭川駅前","https://travel.rakuten.co.jp/HOTEL/172612/172612.html?l-id=hotelList_26_172612","26"
"ホテルマイステイズ札幌駅北口","https://travel.rakuten.co.jp/HOTEL/68288/68288.html?l-id=hotelList_27_68288","27"
"クロスホテル札幌","https://travel.rakuten.co.jp/HOTEL/67259/67259.html?l-id=hotelList_28_67259","28"
"ＡＮＡクラウンプラザホテル札幌","https://travel.rakuten.co.jp/HOTEL/169/169.html?l-id=hotelList_29_169","29"
"ラ・ジェント・ステイ函館駅前","https://travel.rakuten.co.jp/HOTEL/177009/177009.html?l-id=hotelList_30_177009","30"
"札幌グランドホテル","https://travel.rakuten.co.jp/HOTEL/762/762.html?l-id=hotelList_31_762","31"
"函館湯の川温泉　海と灯／ヒューイットリゾート","https://travel.rakuten.co.jp/HOTEL/182148/182148.html?l-id=hotelList_32_182148","32"
"きたゆざわ　森のソラニワ","https://travel.rakuten.co.jp/HOTEL/18832/18832.html?l-id=hotelList_ad_L000002704_1_18832","33"
"札幌エクセルホテル東急","https://travel.rakuten.co.jp/HOTEL/502/502.html?l-id=hotelList_ad_L000002704_2_502","34"
"ホテルＷＢＦ函館　海神の湯","https://travel.rakuten.co.jp/HOTEL/173143/173143.html?l-id=hotelList_3_173143","35"
"ホテル京阪　札幌","https://travel.rakuten.co.jp/HOTEL/79254/79254.html?l-id=hotelList_4_79254","36"
"ＡＮＡクラウンプラザホテル千歳","https://travel.rakuten.co.jp/HOTEL/705/705.html?l-id=hotelList_5_705","37"
"グランドパーク小樽","https://travel.rakuten.co.jp/HOTEL/1468/1468.html?l-id=hotelList_6_1468","38"
"札幌東急ＲＥＩホテル","https://travel.rakuten.co.jp/HOTEL/501/501.html?l-id=hotelList_7_501","39"
"ホテル日航ノースランド帯広","https://travel.rakuten.co.jp/HOTEL/1176/1176.html?l-id=hotelList_8_1176","40"
"札幌グランベルホテル","https://travel.rakuten.co.jp/HOTEL/182301/182301.html?l-id=hotelList_9_182301","41"
"ロイトン札幌","https://travel.rakuten.co.jp/HOTEL/849/849.html?l-id=hotelList_10_849","42"
"テンザホテル＆スカイスパ・札幌セントラル","https://travel.rakuten.co.jp/HOTEL/761/761.html?l-id=hotelList_11_761","43"
"ＪＲタワーホテル日航札幌","https://travel.rakuten.co.jp/HOTEL/76941/76941.html?l-id=hotelList_12_76941","44"
"東急ステイ札幌大通","https://travel.rakuten.co.jp/HOTEL/167979/167979.html?l-id=hotelList_13_167979","45"
"ホテル法華クラブ札幌","https://travel.rakuten.co.jp/HOTEL/127/127.html?l-id=hotelList_14_127","46"
"新富良野プリンスホテル","https://travel.rakuten.co.jp/HOTEL/30804/30804.html?l-id=hotelList_15_30804","47"
"函館・湯の川温泉　ホテル万惣","https://travel.rakuten.co.jp/HOTEL/151068/151068.html?l-id=hotelList_16_151068","48"
"スマイルホテル苫小牧","https://travel.rakuten.co.jp/HOTEL/137090/137090.html?l-id=hotelList_17_137090","49"
"ホテル法華クラブ函館","https://travel.rakuten.co.jp/HOTEL/126/126.html?l-id=hotelList_18_126","50"
"札幌パークホテル","https://travel.rakuten.co.jp/HOTEL/763/763.html?l-id=hotelList_19_763","51"
"からくさホテル札幌","https://travel.rakuten.co.jp/HOTEL/164491/164491.html?l-id=hotelList_20_164491","52"
"ホテルモントレ札幌","https://travel.rakuten.co.jp/HOTEL/1131/1131.html?l-id=hotelList_21_1131","53"
"東急ステイ函館朝市　灯の湯（あかりのゆ）","https://travel.rakuten.co.jp/HOTEL/179583/179583.html?l-id=hotelList_22_179583","54"
"釧路センチュリーキャッスルホテル","https://travel.rakuten.co.jp/HOTEL/9350/9350.html?l-id=hotelList_23_9350","55"
"ホテルパコ帯広駅前（旧ホテルパコ帯広２）","https://travel.rakuten.co.jp/HOTEL/50752/50752.html?l-id=hotelList_24_50752","56"
"ベストウェスタンプラスホテルフィーノ千歳","https://travel.rakuten.co.jp/HOTEL/166194/166194.html?l-id=hotelList_25_166194","57"
"ＯＮＳＥＮ　ＲＹＯＫＡＮ　由縁　札幌","https://travel.rakuten.co.jp/HOTEL/179353/179353.html?l-id=hotelList_26_179353","58"
"天然温泉　プレミアホテル―ＣＡＢＩＮ―帯広","https://travel.rakuten.co.jp/HOTEL/50753/50753.html?l-id=hotelList_27_50753","59"
"ラビスタ阿寒川（共立リゾート）","https://travel.rakuten.co.jp/HOTEL/149147/149147.html?l-id=hotelList_28_149147","60"
"ホテル　ローヤルステイ・サッポロ","https://travel.rakuten.co.jp/HOTEL/145066/145066.html?l-id=hotelList_29_145066","61"
"プレミアホテル－ＴＳＵＢＡＫＩ－札幌","https://travel.rakuten.co.jp/HOTEL/1432/1432.html?l-id=hotelList_30_1432","62"
"すすきのグランベルホテル","https://travel.rakuten.co.jp/HOTEL/182562/182562.html?l-id=hotelList_31_182562","63"
"洞爺湖温泉　洞爺観光ホテル","https://travel.rakuten.co.jp/HOTEL/12539/12539.html?l-id=hotelList_32_12539","64"
"きたゆざわ　森のソラニワ","https://travel.rakuten.co.jp/HOTEL/18832/18832.html?l-id=hotelList_ad_L000002704_1_18832","65"
"札幌エクセルホテル東急","https://travel.rakuten.co.jp/HOTEL/502/502.html?l-id=hotelList_ad_L000002704_2_502","66"
"コンフォートホテル帯広","https://travel.rakuten.co.jp/HOTEL/76807/76807.html?l-id=hotelList_3_76807","67"
"スマイルホテルプレミアム函館五稜郭","https://travel.rakuten.co.jp/HOTEL/179797/179797.html?l-id=hotelList_4_179797","68"
"ＫＩＫＩ知床　ナチュラルリゾート","https://travel.rakuten.co.jp/HOTEL/16554/16554.html?l-id=hotelList_5_16554","69"
"三井ガーデンホテル札幌ウエスト","https://travel.rakuten.co.jp/HOTEL/178218/178218.html?l-id=hotelList_6_178218","70"
"ドーミーインＰＲＥＭＩＵＭ札幌（ドーミーイン・御宿野乃　ホテルズグループ）","https://travel.rakuten.co.jp/HOTEL/14019/14019.html?l-id=hotelList_7_14019","71"
"ザ　ロイヤルパーク　キャンバス　札幌大通公園","https://travel.rakuten.co.jp/HOTEL/182601/182601.html?l-id=hotelList_8_182601","72"
"Ｔマークシティホテル札幌大通","https://travel.rakuten.co.jp/HOTEL/177743/177743.html?l-id=hotelList_9_177743","73"
"ホテルアマネク旭川〜展望浴場「四季の湯」〜","https://travel.rakuten.co.jp/HOTEL/182715/182715.html?l-id=hotelList_10_182715","74"
"ザ・レイクスイート湖の栖（洞爺サンパレスリゾート＆スパ別館）","https://travel.rakuten.co.jp/HOTEL/172346/172346.html?l-id=hotelList_11_172346","75"
"十勝川温泉　第一ホテル","https://travel.rakuten.co.jp/HOTEL/5818/5818.html?l-id=hotelList_12_5818","76"
"天然温泉　幣舞の湯　ラビスタ釧路川（ドーミーイン・御宿野乃　ホテルズグループ）","https://travel.rakuten.co.jp/HOTEL/56846/56846.html?l-id=hotelList_13_56846","77"
"ホテルモントレエーデルホフ札幌","https://travel.rakuten.co.jp/HOTEL/7523/7523.html?l-id=hotelList_14_7523","78"
"ホテルマイステイズ函館五稜郭","https://travel.rakuten.co.jp/HOTEL/70692/70692.html?l-id=hotelList_15_70692","79"
"ホテルムニン富良野（Ｈｏｔｅｌ　Ｍｕｎｉｎ　Ｆｕｒａｎｏ）","https://travel.rakuten.co.jp/HOTEL/172266/172266.html?l-id=hotelList_16_172266","80"
"森のスパリゾート　北海道ホテル","https://travel.rakuten.co.jp/HOTEL/1019/1019.html?l-id=hotelList_17_1019","81"
"湯の川温泉　花びしホテル","https://travel.rakuten.co.jp/HOTEL/29275/29275.html?l-id=hotelList_18_29275","82"
"登別温泉　第一滝本館","https://travel.rakuten.co.jp/HOTEL/30109/30109.html?l-id=hotelList_19_30109","83"
"札幌ワシントンホテルプラザ（２０２２年３月１日新規開業）","https://travel.rakuten.co.jp/HOTEL/183497/183497.html?l-id=hotelList_20_183497","84"
"ＪＲイン旭川","https://travel.rakuten.co.jp/HOTEL/147739/147739.html?l-id=hotelList_21_147739","85"
"ホテル　ナトゥールヴァルト富良野","https://travel.rakuten.co.jp/HOTEL/75270/75270.html?l-id=hotelList_22_75270","86"
"ＪＲイン札幌","https://travel.rakuten.co.jp/HOTEL/72781/72781.html?l-id=hotelList_23_72781","87"
